word,syllable_thai,syllable_roman,onset,vowel,coda,has_long_vowel,ipa,g2p
หลังจาก,หลัง,lang,l,a,ng,False,laŋ5,laN4
หลังจาก,จาก,chak,ch,a,k,True,caːk2,caak1
ชวน,ชวน,chuan,ch,ua,n,True,cʰuːan1,chuuan0
ฝั่ง,ฝั่ง,fang,f,a,ng,False,faŋ2,faN1
แก้,แก้,kae,k,ae,,True,kɛː3,kxx2
เขียน,เขียน,khian,kh,ia,n,True,kʰiːan5,khiian4
ชัย,ชัย,chai,ch,ai,,False,cʰaj1,chaj0
นอกจาก,นอก,nok,n,o,k,True,nᴐːk3,nOOk2
นอกจาก,จาก,chak,ch,a,k,True,caːk2,caak1
ไอ,ไอ,ai,,ai,,False,ʔaj1,?aj0
มีโอกาส,มี,mi,m,i,,True,miː1,mii0
มีโอกาส,โอ,-o,-,o,,True,ʔoː1,?oo0
มีโอกาส,กาส,kat,k,a,t,True,kaːt2,kaat1
ประธาน,ประ,pra,pr,a,,False,pra2,pra1
ประธาน,ธาน,than,th,a,n,True,tʰaːn1,thaan0
หมอ,หมอ,mo,m,o,,True,mᴐː5,mOO4
แอบ,แอบ,aep,,ae,p,True,ʔɛːp2,?xxp1
ได้มา,ได้,dai,d,ai,,True,daːj3,daaj2
ได้มา,มา,ma,m,a,,True,maː1,maa0
เสียง,เสียง,siang,s,ia,ng,True,siːaŋ5,siiaN4
ทะเล,ทะ,tha,th,a,,False,tʰa4,tha3
ทะเล,เล,le,l,e,,True,leː1,lee0
ถ้วย,ถ้วย,thuai,th,uai,,True,tʰuːaj3,thuuaj2
อดีต,อดีต,adit,,adi,t,True,ʔa2,?a1'diit1
จับ,จับ,chap,ch,a,p,False,cap2,cap1
โรค,โรค,rok,r,o,k,True,roːk3,rook2
สะอาด,สะ,sa,s,a,,False,sa2,sa1
สะอาด,อาด,-at,-,a,t,True,ʔaːt2,?aat1
รวมถึง,รวม,ruam,r,ua,m,True,ruːam1,ruuam0
รวมถึง,ถึง,thueng,th,ue,ng,False,tʰɯŋ5,thUN4
มีปัญหา,มี,mi,m,i,,True,miː1,mii0
มีปัญหา,ปัญ,pan,p,a,n,False,pan1,pan0
มีปัญหา,หา,ha,h,a,,True,haː5,haa4
ใต้,ใต้,tai,t,ai,,True,taːj3,taaj2
ชม,ชม,chom,ch,o,m,False,cʰom1,chom0
สถานการณ์,สถาน,sathana,s,athana,,True,sa2,sa1'thaa4'na3
สถานการณ์,การณ์,kan,k,a,n,True,tʰaː5,kaan0
สอบถาม,สอบ,sop,s,o,p,True,sᴐːp2,sOOp1
สอบถาม,ถาม,tham,th,a,m,True,tʰaːm5,thaam4
นายกรัฐมนตรี,นา,na,n,a,,True,naː1,naa0
นายกรัฐมนตรี,ยก,yok,y,o,k,False,jok4,jok3
นายกรัฐมนตรี,รัฐ,rattha,r,attha,,False,rat4,rat3'tha1
นายกรัฐมนตรี,มน,mon,m,o,n,False,tʰa2,mon0
นายกรัฐมนตรี,ตรี,tri,tr,i,,True,mon1,trii0
ร่วมกัน,ร่วม,ruam,r,ua,m,True,ruːam3,ruuam2
ร่วมกัน,กัน,kan,k,a,n,False,kan1,kan0
เศรษฐกิจ,เศรษฐ,settha,s,ettha,,True,seːt2,seet1'tha1
เศรษฐกิจ,กิจ,kit,k,i,t,False,tʰa2,kit1
เท่า,เท่า,thao,th,ao,,False,tʰaw3,thaw2
บุคคล,บุค,buk,b,u,k,False,buk2,buk1
บุคคล,คล,khon,kh,o,n,False,kʰon1,khon0
ลูกชิ้น,ลูก,luk,l,u,k,True,luːk3,luuk2
ลูกชิ้น,ชิ้น,chin,ch,i,n,False,cʰin4,chin3
มาตรฐาน,มาตร,mattra,m,attra,,True,maːt3,maat2'tra1
มาตรฐาน,ฐาน,than,th,a,n,True,tra2,thaan4
เสร็จ,เสร็จ,set,s,e,t,False,set2,set1
เฉย,เฉย,choei,ch,oei,,True,cʰɤːj5,ch@@j4
เขต,เขต,khet,kh,e,t,True,kʰeːt2,kheet1
ข้าง,ข้าง,khang,kh,a,ng,True,kʰaːŋ3,khaaN2
พ่อ,พ่อ,pho,ph,o,,True,pʰᴐː3,phOO2
ลักษณะ,ลัก,lak,l,a,k,False,lak4,lak3
ลักษณะ,ษณะ,sana,s,ana,,False,sa2,sa1'na1
ของหวาน,ของ,khong,kh,o,ng,True,kʰᴐːŋ5,khOON4
ของหวาน,หวาน,wan,w,a,n,True,waːn5,waan4
สนุก,สนุก,sanuk,s,anu,k,False,sa2,sa1'nuk1
ยอมรับ,ยอม,yom,y,o,m,True,jᴐːm1,jOOm0
ยอมรับ,รับ,rap,r,a,p,False,rap4,rap3
ขาด,ขาด,khat,kh,a,t,True,kʰaːt2,khaat1
ยาว,ยาว,yao,y,ao,,True,jaːw1,jaaw0
ต้ม,ต้ม,tom,t,o,m,False,tom3,tom2
เหล่านี้,เหล่า,lao,l,ao,,False,law2,law1
เหล่านี้,นี้,ni,n,i,,True,niː4,nii3
นิดนึง,นิ,ni,n,i,,False,ni4,ni3
นิดนึง,ดนึง,danueng,d,anue,ng,False,da2,da1'nUN0
น่ะ,น่ะ,na,n,a,,False,na3,na2
รวมทั้ง,รวม,ruam,r,ua,m,True,ruːam1,ruuam0
รวมทั้ง,ทั้ง,thang,th,a,ng,False,tʰaŋ4,thaN3
หนัก,หนัก,nak,n,a,k,False,nak2,nak1
เร,เร,re,r,e,,True,reː1,ree0
การศึกษา,การ,kan,k,a,n,True,kaːn1,kaan0
การศึกษา,ศึก,sue,s,ue,,False,sɯk2,sUk1
การศึกษา,ษา,ksa,k,sa,,True,saː5,saa4
วิธี,วิ,wi,w,i,,False,wi4,wi3
วิธี,ธี,thi,th,i,,True,tʰiː1,thii0
โต,โต,to,t,o,,True,toː1,too0
ตัด,ตัด,tat,t,a,t,False,tat2,tat1
วาง,วาง,wang,w,a,ng,True,waːŋ1,waaN0
ทุกวัน,ทุก,thuk,th,u,k,False,tʰuk4,thuk3
ทุกวัน,วัน,wan,w,a,n,False,wan1,wan0
การพัฒนา,การ,kan,k,a,n,True,kaːn1,kaan0
การพัฒนา,พัฒ,phattha,ph,attha,,False,pʰat4,phat3'tha3
การพัฒนา,นา,na,n,a,,True,tʰa4,naa0
คืน,คืน,khuen,kh,ue,n,True,kʰɯːn1,khUUn0
เบา,เบา,bao,b,ao,,False,baw1,baw0
ประจำ,ประ,pra,pr,a,,False,pra2,pra1
ประจำ,จำ,cham,ch,a,m,False,cam1,cam0
กด,กด,kot,k,o,t,False,kot2,kot1
ทัน,ทัน,than,th,a,n,False,tʰan1,than0
ยู,ยู,yu,y,u,,True,juː1,juu0
ฟิน,ฟิน,fin,f,i,n,False,fin1,fin0
บิ,บิ,bi,b,i,,False,bi2,bi1
เรื่อยๆ,เรื่อย,rueai rueai,r,ueai rueai,,True,rɯːaj3 rɯːaj3,rUUaj2
เรื่อยๆ,ๆ,,,,,False,,
ตาย,ตาย,tai,t,ai,,True,taːj1,taaj0
มาถึง,มา,ma,m,a,,True,maː1,maa0
มาถึง,ถึง,thueng,th,ue,ng,False,tʰɯŋ5,thUN4
ยอม,ยอม,yom,y,o,m,True,jᴐːm1,jOOm0
สิทธิมนุษยชน,สิท,sit,s,i,t,False,sit2,sit1
สิทธิมนุษยชน,ธิ,thi,th,i,,False,tʰi4,thi3
สิทธิมนุษยชน,มนุษย,manutsaya,m,anutsaya,,False,ma4,ma3'nut3'sa1'ja3
สิทธิมนุษยชน,ชน,chon,ch,o,n,False,nut4,chon0
โตโยต้า,โต,to,t,o,,True,toː1,too0
โตโยต้า,โย,yo,y,o,,True,joː1,joo0
โตโยต้า,ต้า,ta,t,a,,True,taː3,taa2
เช่นกัน,เช่น,chenka,ch,enka,,True,cʰeːn3,cheen2
เช่นกัน,กัน,n,n,,n,False,kan1,kan0
ผิดหวัง,ผิด,phit,ph,i,t,False,pʰit2,phit1
ผิดหวัง,หวัง,wang,w,a,ng,False,waŋ5,waN4
เก่า,เก่า,kao,k,ao,,False,kaw2,kaw1
นักศึกษา,นัก,nak,n,a,k,False,nak4,nak3
นักศึกษา,ศึก,sue,s,ue,,False,sɯk2,sUk1
นักศึกษา,ษา,ksa,k,sa,,True,saː5,saa4
ออกจาก,ออก,ok,,o,k,True,ʔᴐːk2,?OOk1
ออกจาก,จาก,chak,ch,a,k,True,caːk2,caak1
ที่ดิน,ที่,thi,th,i,,True,tʰiː3,thii2
ที่ดิน,ดิน,din,d,i,n,False,din1,din0
คุย,คุย,khui,kh,ui,,False,kʰuj1,khuj0
บะหมี่,บะ,ba,b,a,,False,ba2,ba1
บะหมี่,หมี่,mi,m,i,,True,miː2,mii1
มหาวิทยาลัย,มหา,maha,m,aha,,True,ma4,ma3'haa4
มหาวิทยาลัย,วิท,wittha,w,ittha,,True,haː5,wit3'tha3
มหาวิทยาลัย,ยา,ya,y,a,,True,wit4,jaa0
มหาวิทยาลัย,ลัย,lai,l,ai,,False,tʰa4,laj0
อายุ,อา,a,,a,,True,ʔaː1,?aa0
อายุ,ยุ,yu,y,u,,False,ju4,ju3
ร้า,ร้า,ra,r,a,,True,raː4,raa3
นิดๆ,นิด,nit nit,n,it ni,t,False,nit4 nit4,nit3
นิดๆ,ๆ,,,,,False,,
เบอร์,เบอร์,boe,b,oe,,True,bɤː1,b@@0
การทำงาน,การ,kan,k,a,n,True,kaːn1,kaan0
การทำงาน,ทำ,tham,th,a,m,False,tʰam1,tham0
การทำงาน,งาน,ngan,ng,a,n,True,ŋaːn1,Naan0
ยืนยัน,ยืน,yuen,y,ue,n,True,jɯːn1,jUUn0
ยืนยัน,ยัน,yan,y,a,n,False,jan1,jan0
ติดตาม,ติด,tit,t,i,t,False,tit2,tit1
ติดตาม,ตาม,tam,t,a,m,True,taːm1,taam0
วิ,วิ,wi,w,i,,False,wi4,wi3
เสรีภาพ,เส,se,s,e,,True,seː5,see4
เสรีภาพ,รี,ri,r,i,,True,riː1,rii0
เสรีภาพ,ภาพ,phap,ph,a,p,True,pʰaːp3,phaap2
สภา,สภา,sapha,s,apha,,True,sa2,sa1'phaa0
วัด,วัด,wat,w,a,t,False,wat4,wat3
ชาด,ชาด,chat,ch,a,t,True,cʰaːt3,chaat2
ประทับใจ,ประ,pra,pr,a,,False,pra2,pra1
ประทับใจ,ทับ,thap,th,a,p,False,tʰap4,thap3
ประทับใจ,ใจ,chai,ch,ai,,False,caj1,caj0
ปั่น,ปั่น,pan,p,a,n,False,pan2,pan1
แสดง,แสดง,sadaeng,s,adae,ng,True,sa2,sa1'dxxN0
ยังคง,ยัง,yang,y,a,ng,False,jaŋ1,jaN0
ยังคง,คง,khong,kh,o,ng,False,kʰoŋ1,khoN0
โรงแรม,โรง,rong,r,o,ng,True,roːŋ1,rooN0
โรงแรม,แรม,raem,r,ae,m,True,rɛːm1,rxxm0
ตรงข้าม,ตรง,trong,tr,o,ng,False,troŋ1,troN0
ตรงข้าม,ข้าม,kham,kh,a,m,True,kʰaːm3,khaam2
บุ,บุ,bu,b,u,,False,bu2,bu1
กล้า,กล้า,kla,kl,a,,True,klaː3,klaa2
ขณะที่,ขณะ,khana,kh,ana,,False,kʰa2,kha1'na1
ขณะที่,ที่,thi,th,i,,True,na2,thii2
เห็ด,เห็ด,het,h,e,t,False,het2,het1
นั่น,นั่น,nan,n,a,n,False,nan3,nan2
รถยนต์,รถ,rot,r,o,t,False,rot4,rot3
รถยนต์,ยนต์,yon,y,o,n,False,jon1,jon0
จัง,จัง,chang,ch,a,ng,False,caŋ1,caN0
ให้ได้,ให้,hai,h,ai,,False,haj3,haj2
ให้ได้,ได้,dai,d,ai,,True,daːj3,daaj2
ชิ,ชิ,chi,ch,i,,False,cʰi4,chi3
ล่าสุด,ล่า,la,l,a,,True,laː3,laa2
ล่าสุด,สุด,sut,s,u,t,False,sut2,sut1
เมา,เมา,mao,m,ao,,False,maw1,maw0
สถาบัน,สถา,satha,s,atha,,True,sa2,sa1'thaa4
สถาบัน,บัน,ban,b,a,n,True,tʰaː5,ban0
กลับบ้าน,กลับ,klap,kl,a,p,False,klap2,klap1
กลับบ้าน,บ้าน,ban,b,a,n,True,baːn3,baan2
ดิ,ดิ,di,d,i,,False,di2,di1
ประตู,ประ,pra,pr,a,,False,pra2,pra1
ประตู,ตู,tu,t,u,,True,tuː1,tuu0
ครั้งแรก,ครั้ง,khrang,khr,a,ng,False,kʰraŋ4,khraN3
ครั้งแรก,แรก,raek,r,ae,k,True,rɛːk3,rxxk2
เหมาะกับ,เหมาะ,mo,m,o,,False,mᴐ2,mO1
เหมาะกับ,กับ,kap,k,a,p,False,kap2,kap1
เท่าไร,เท่า,thao,th,ao,,False,tʰaw3,thaw2
เท่าไร,ไร,rai,r,ai,,False,raj1,raj0
สมาชิก,สมา,sama,s,ama,,True,sa2,sa1'maa0
สมาชิก,ชิก,chik,ch,i,k,True,maː1,chik3
กระเทียม,กระ,kra,kr,a,,False,kra2,kra1
กระเทียม,เทียม,thiam,th,ia,m,True,tʰiːam1,thiiam0
แฟน,แฟน,faen,f,ae,n,True,fɛːn1,fxxn0
หน่วยงาน,หน่วย,nuai,n,uai,,True,nuːaj2,nuuaj1
หน่วยงาน,งาน,ngan,ng,a,n,True,ŋaːn1,Naan0
ขา,ขา,kha,kh,a,,True,kʰaː5,khaa4
ขอบคุณ,ขอบ,khop,kh,o,p,True,kʰᴐːp2,khOOp1
ขอบคุณ,คุณ,khun,kh,u,n,False,kʰun1,khun0
จันทร์,จันทร์,chan,ch,a,n,False,can1,can0
ความรุนแรง,ความ,khwam,kh,wa,m,True,kʰwaːm1,khwaam0
ความรุนแรง,รุน,run,r,u,n,False,run1,run0
ความรุนแรง,แรง,raeng,r,ae,ng,True,rɛːŋ1,rxxN0
รอง,รอง,rong,r,o,ng,True,rᴐːŋ1,rOON0
รู้จัก,รู้,ru,r,u,,True,ruː4,ruu3
รู้จัก,จัก,chak,ch,a,k,False,cak2,cak1
พัน,พัน,phan,ph,a,n,False,pʰan1,phan0
อิน,อิน,in,,i,n,False,ʔin1,?in0
บา,บา,ba,b,a,,True,baː1,baa0
ร่าง,ร่าง,rang,r,a,ng,True,raːŋ3,raaN2
กลายเป็น,กลาย,klai,kl,ai,,True,klaːj1,klaaj0
กลายเป็น,เป็น,pen,p,e,n,False,pen1,pen0
แปลก,แปลก,plaek,pl,ae,k,True,plɛːk2,plxxk1
วจะ,วจะ,wacha,w,acha,,False,wa4,wa3'ca1
วิ่ง,วิ่ง,wing,w,i,ng,False,wiŋ3,wiN2
ปล่อย,ปล่อย,ploi,pl,oi,,True,plᴐːj2,plOOj1
เลี่ยน,เลี่ยน,lian,l,ia,n,True,liːan3,liian2
ซัก,ซัก,sak,s,a,k,False,sak4,sak3
นอน,นอน,non,n,o,n,True,nᴐːn1,nOOn0
นาวา,นา,na,n,a,,True,naː1,naa0
นาวา,วา,wa,w,a,,True,waː1,waa0
หน้าตา,หน้า,na,n,a,,True,naː3,naa2
หน้าตา,ตา,ta,t,a,,True,taː1,taa0
โลตัส,โล,lo,l,o,,True,loː1,loo0
โลตัส,ตัส,tat,t,a,t,False,tat2,tat1
กระบวนการ,กระ,kra,kr,a,,False,kra2,kra1
กระบวนการ,บวน,buan,b,ua,n,True,buːan1,buuan0
กระบวนการ,การ,kan,k,a,n,True,kaːn1,kaan0
ข้าวผัด,ข้าว,khao,kh,ao,,True,kʰaːw3,khaaw2
ข้าวผัด,ผัด,phat,ph,a,t,False,pʰat2,phat1
ว่าการ,ว่า,wa,w,a,,True,waː3,waa2
ว่าการ,การ,kan,k,a,n,True,kaːn1,kaan0
ศรี,ศรี,si,s,i,,True,siː5,sii4
ขณะนี้,ขณะ,khana,kh,ana,,False,kʰa2,kha1'na1
ขณะนี้,นี้,ni,n,i,,True,na2,nii3
ลิ,ลิ,li,l,i,,False,li4,li3
ป้องกัน,ป้อง,pong,p,o,ng,True,pᴐːŋ3,pOON2
ป้องกัน,กัน,kan,k,a,n,False,kan1,kan0
เนี่ย,เนี่ย,nia,n,ia,,True,niːa3,niia2
นาที,นา,na,n,a,,True,naː1,naa0
นาที,ที,thi,th,i,,True,tʰiː1,thii0
พูดถึง,พูด,phut,ph,u,t,True,pʰuːt3,phuut2
พูดถึง,ถึง,thueng,th,ue,ng,False,tʰɯŋ5,thUN4
หนัง,หนัง,nang,n,a,ng,False,naŋ5,naN4
จำ,จำ,cham,ch,a,m,False,cam1,cam0
ผลิต,ผลิต,phalit,ph,ali,t,False,pʰa2,pha1'lit1
อิ,อิ,i,,i,,False,ʔi2,?i1
ฐานะ,ฐา,tha,th,a,,True,tʰaː5,thaa4
ฐานะ,นะ,na,n,a,,False,na4,na3
เวที,เว,we,w,e,,True,weː1,wee0
เวที,ที,thi,th,i,,True,tʰiː1,thii0
ธุรกิจ,ธุร,thura,th,ura,,False,tʰu4,thu3'ra3
ธุรกิจ,กิจ,kit,k,i,t,False,ra4,kit1
ชาม,ชาม,cham,ch,a,m,True,cʰaːm1,chaam0
ภาคใต้,ภาค,phak,ph,a,k,True,pʰaːk3,phaak2
ภาคใต้,ใต้,tai,t,ai,,True,taːj3,taaj2
คนเดียว,คน,khon,kh,o,n,False,kʰon1,khon0
คนเดียว,เดียว,diao,d,iao,,True,diːaw1,diiaw0
นับ,นับ,nap,n,a,p,False,nap4,nap3
น้ำแข็ง,น้ำ,nam,n,a,m,True,naːm4,naam3
น้ำแข็ง,แข็ง,khaeng,kh,ae,ng,False,kʰɛŋ5,khxN4
ครึ่ง,ครึ่ง,khrueng,khr,ue,ng,False,kʰrɯŋ3,khrUN2
แก,แก,kae,k,ae,,True,kɛː1,kxx0
เอ,เอ,e,,e,,True,ʔeː1,?ee0
ทีม,ทีม,thim,th,i,m,True,tʰiːm1,thiim0
สุ,สุ,su,s,u,,False,su2,su1
คา,คา,kha,kh,a,,True,kʰaː1,khaa0
หนังสือ,หนัง,nang,n,a,ng,False,naŋ5,naN4
หนังสือ,สือ,sue,s,ue,,True,sɯː5,sUU4
ยุค,ยุค,yuk,y,u,k,False,juk4,juk3
เหี้ย,เหี้ย,hia,h,ia,,True,hiːa3,hiia2
ร้อย,ร้อย,roi,r,oi,,True,rᴐːj4,rOOj3
ด้วยกัน,ด้วย,duai,d,uai,,True,duːaj3,duuaj2
ด้วยกัน,กัน,kan,k,a,n,False,kan1,kan0
เดี๋ยว,เดี๋ยว,diao,d,iao,,True,diːaw5,diiaw4
แล้,แล้,lae,l,ae,,True,lɛː4,lxx3
เพจ,เพจ,phet,ph,e,t,True,pʰeːt3,pheet2
ตำ,ตำ,tam,t,a,m,False,tam1,tam0
รูปแบบ,รูป,rup,r,u,p,True,ruːp3,ruup2
รูปแบบ,แบบ,baep,b,ae,p,True,bɛːp2,bxxp1
สำนักงาน,สำ,sam,s,a,m,False,sam5,sam4
สำนักงาน,นัก,nak,n,a,k,False,nak4,nak3
สำนักงาน,งาน,ngan,ng,a,n,True,ŋaːn1,Naan0
บี,บี,bi,b,i,,True,biː1,bii0
กร้าน,กร้าน,kran,kr,a,n,True,kraːn3,kraan2
สะดวก,สะ,sa,s,a,,False,sa2,sa1
สะดวก,ดวก,duak,d,ua,k,True,duːak2,duuak1
เหตุ,เหตุ,het,h,e,t,True,heːt2,heet1
มะ,มะ,ma,m,a,,False,ma4,ma3
โมง,โมง,mong,m,o,ng,True,moːŋ1,mooN0
ตนเอง,ตน,ton,t,o,n,False,ton1,ton0
ตนเอง,เอง,-eng,-,e,ng,True,ʔeːŋ1,?eeN0
เกี๊ยว,เกี๊ยว,kiao,k,iao,,True,kiːaw4,kiiaw3
ให้บริการ,ให้,hai,h,ai,,False,haj3,haj2
ให้บริการ,บริ,bori,b,ori,,True,bᴐː1,bOO0'ri3
ให้บริการ,การ,kan,k,a,n,True,ri4,kaan0
ง่ายๆ,ง่าย,ngai ngai,ng,ai ngai,,True,ŋaːj3 ŋaːj3,Naaj2
ง่ายๆ,ๆ,,,,,False,,
ศึกษา,ศึก,sue,s,ue,,False,sɯk2,sUk1
ศึกษา,ษา,ksa,k,sa,,True,saː5,saa4
อบ,อบ,op,,o,p,False,ʔop2,?op1
ป่าว,ป่าว,pao,p,ao,,True,paːw2,paaw1
ชาย,ชาย,chai,ch,ai,,True,cʰaːj1,chaaj0
อิอิ,อิ,i,,i,,False,ʔi2,?i1
อิอิ,อิ,-i,-,i,,False,ʔi2,?i1
โฆษณา,โฆ,kho,kh,o,,True,kʰoː1,khoo0
โฆษณา,ษณา,sana,s,ana,,True,sa2,sa1'naa0
จิ้ม,จิ้ม,chim,ch,i,m,False,cim3,cim2
ทันที,ทัน,than,th,a,n,False,tʰan1,than0
ทันที,ที,thi,th,i,,True,tʰiː1,thii0
เช้า,เช้า,chao,ch,ao,,False,cʰaw4,chaw3
สาว,สาว,sao,s,ao,,True,saːw5,saaw4
ซา,ซา,sa,s,a,,True,saː1,saa0
หญิง,หญิง,ying,y,i,ng,False,jiŋ5,jiN4
แย่,แย่,yae,y,ae,,True,jɛː3,jxx2
แซลมอน,แซ,sae,s,ae,,True,sɛː1,sxx0
แซลมอน,ลมอน,lamon,l,amo,n,True,la4,la3'mOOn0
ฐาน,ฐาน,than,th,a,n,True,tʰaːn5,thaan4
เซ็นทรัล,เซ็น,sen,s,e,n,False,sen1,sen0
เซ็นทรัล,ทรัล,san,s,a,n,False,san1,san0
เหมือนเดิม,เหมือน,muean,m,uea,n,True,mɯːan5,mUUan4
เหมือนเดิม,เดิม,doem,d,oe,m,True,dɤːm1,d@@m0
ตก,ตก,tok,t,o,k,False,tok2,tok1
บ่อย,บ่อย,boi,b,oi,,True,bᴐːj2,bOOj1
มะนาว,มะ,ma,m,a,,False,ma4,ma3
มะนาว,นาว,nao,n,ao,,True,naːw1,naaw0
ทุ่ม,ทุ่ม,thum,th,u,m,False,tʰum3,thum2
นึก,นึก,nuek,n,ue,k,False,nɯk4,nUk3
ตามที่,ตาม,tam,t,a,m,True,taːm1,taam0
ตามที่,ที่,thi,th,i,,True,tʰiː3,thii2
หรอก,หรอก,rok,r,o,k,True,rᴐːk2,rOOk1
พอสมควร,พอ,pho,ph,o,,True,pʰᴐː1,phOO0
พอสมควร,สม,som,s,o,m,False,som5,som4
พอสมควร,ควร,khuan,kh,ua,n,True,kʰuːan1,khuuan0
ภายใต้,ภาย,phai,ph,ai,,True,pʰaːj1,phaaj0
ภายใต้,ใต้,tai,t,ai,,True,taːj3,taaj2
เปิดเผย,เปิด,poet,p,oe,t,True,pɤːt2,p@@t1
เปิดเผย,เผย,phoei,ph,oei,,True,pʰɤːj5,ph@@j4
เถอะ,เถอะ,thoe,th,oe,,False,tʰɤ2,th@1
ความมั่นคง,ความ,khwam,kh,wa,m,True,kʰwaːm1,khwaam0
ความมั่นคง,มั่น,man,m,a,n,False,man3,man2
ความมั่นคง,คง,khong,kh,o,ng,False,kʰoŋ1,khoN0
อ่อน,อ่อน,on,,o,n,True,ʔᴐːn2,?OOn1
ชั่วโมง,ชั่ว,chuamo,ch,uamo,,True,cʰuːa3,chuua2
ชั่วโมง,โมง,ng,ng,,ng,True,moːŋ1,mooN0
ไก่ทอด,ไก่,kai,k,ai,,False,kaj2,kaj1
ไก่ทอด,ทอด,thot,th,o,t,True,tʰᴐːt3,thOOt2
แพทย์,แพทย์,phaet,ph,ae,t,True,pʰɛːt3,phxxt2
โก,โก,ko,k,o,,True,koː1,koo0
เผา,เผา,phao,ph,ao,,False,pʰaw5,phaw4
ไท,ไท,thai,th,ai,,False,tʰaj1,thaj0
พลัง,พลัง,phalang,ph,ala,ng,False,pʰa4,pha3'laN0
คุ้มครอง,คุ้ม,khum,kh,u,m,False,kʰum4,khum3
คุ้มครอง,ครอง,khrong,khr,o,ng,True,kʰrᴐːŋ1,khrOON0
ความเห็น,ความ,khwam,kh,wa,m,True,kʰwaːm1,khwaam0
ความเห็น,เห็น,hen,h,e,n,False,hen5,hen4
ร้อยละ,ร้อย,roi,r,oi,,True,rᴐːj4,rOOj3
ร้อยละ,ละ,la,l,a,,False,la4,la3
ไม้,ไม้,mai,m,ai,,True,maːj4,maaj3
คนละ,คน,khon,kh,o,n,False,kʰon1,khon0
คนละ,ละ,la,l,a,,False,la4,la3
ยื่น,ยื่น,yuen,y,ue,n,True,jɯːn3,jUUn2
อย่างไรก็ตาม,อย่าง,yang,y,a,ng,True,jaːŋ2,jaaN1
อย่างไรก็ตาม,ไร,rai,r,ai,,False,raj1,raj0
อย่างไรก็ตาม,ก็,ko,k,o,,True,kᴐː3,kOO2
อย่างไรก็ตาม,ตาม,tam,t,a,m,True,taːm1,taam0
ชาบู,ชา,cha,ch,a,,True,cʰaː1,chaa0
ชาบู,บู,bu,b,u,,True,buː1,buu0
วะ,วะ,wa,w,a,,False,wa4,wa3
เจ้าของ,เจ้า,chao,ch,ao,,True,caːw3,caaw2
เจ้าของ,ของ,khong,kh,o,ng,True,kʰᴐːŋ5,khOON4
เทคโนโลยี,เทค,thek,th,e,k,True,tʰeːk4,theek3
เทคโนโลยี,โน,no,n,o,,True,noː1,noo0
เทคโนโลยี,โล,lo,l,o,,True,loː1,loo0
เทคโนโลยี,ยี,yi,y,i,,True,jiː1,jii0
แตก,แตก,taek,t,ae,k,True,tɛːk2,txxk1
ไกล,ไกล,klai,kl,ai,,False,klaj1,klaj0
อำเภอ,อำ,am,,a,m,False,ʔam1,?am0
อำเภอ,เภอ,phoe,ph,oe,,True,pʰɤː1,ph@@0
สเต็ก,สเต็ก,satek,s,ate,k,False,sa2,sa1'tek1
ต่อมา,ต่อ,to,t,o,,True,tᴐː2,tOO1
ต่อมา,มา,ma,m,a,,True,maː1,maa0
สวน,สวน,suan,s,ua,n,True,suːan5,suuan4
ผู้หญิง,ผู้,phu,ph,u,,True,pʰuː3,phuu2
ผู้หญิง,หญิง,ying,y,i,ng,False,jiŋ5,jiN4
ดังนี้,ดัง,dang,d,a,ng,False,daŋ1,daN0
ดังนี้,นี้,ni,n,i,,True,niː4,nii3
ส่วนลด,ส่วน,suan,s,ua,n,True,suːan2,suuan1
ส่วนลด,ลด,lot,l,o,t,False,lot4,lot3
ปรับปรุง,ปรับ,prap,pr,a,p,False,prap2,prap1
ปรับปรุง,ปรุง,prung,pr,u,ng,False,pruŋ1,pruN0
ปรุง,ปรุง,prung,pr,u,ng,False,pruŋ1,pruN0
ชายแดน,ชาย,chai,ch,ai,,True,cʰaːj1,chaaj0
ชายแดน,แดน,daen,d,ae,n,True,dɛːn1,dxxn0
ไอศครีม,ไอศ,asai,,asai,,False,ʔa2,?a1'saj4
ไอศครีม,ครีม,khrim,khr,i,m,True,saj5,khriim0
ขึ้นไป,ขึ้น,khue,kh,ue,,False,kʰɯn3,khUn2
ขึ้นไป,ไป,npai,n,pai,,False,paj1,paj0
ไฟ,ไฟ,fai,f,ai,,False,faj1,faj0
ทำได้,ทำ,tham,th,a,m,False,tʰam1,tham0
ทำได้,ได้,dai,d,ai,,True,daːj3,daaj2
โชว์,โชว์,cho,ch,o,,True,cʰoː1,choo0
ได้ดี,ได้,dai,d,ai,,True,daːj3,daaj2
ได้ดี,ดี,di,d,i,,True,diː1,dii0
ผู้ป่วย,ผู้,phu,ph,u,,True,pʰuː3,phuu2
ผู้ป่วย,ป่วย,puai,p,uai,,True,puːaj2,puuaj1
ติ,ติ,ti,t,i,,False,ti2,ti1
ต่อต้าน,ต่อ,to,t,o,,True,tᴐː2,tOO1
ต่อต้าน,ต้าน,tan,t,a,n,True,taːn3,taan2
ประหยัด,ประ,pra,pr,a,,False,pra2,pra1
ประหยัด,หยัด,yat,y,a,t,False,jat2,jat1
ต่างประเทศ,ต่าง,tang,t,a,ng,True,taːŋ2,taaN1
ต่างประเทศ,ประ,pra,pr,a,,False,pra2,pra1
