word,syllable_thai,syllable_roman,onset,vowel,coda,has_long_vowel,ipa,g2p
เจ้า,เจ้า,chao,ch,ao,,True,caːw3,caaw2
กี่,กี่,ki,k,i,,True,kiː2,kii1
มอง,มอง,mong,m,o,ng,True,mᴐːŋ1,mOON0
ดำ,ดำ,dam,d,a,m,False,dam1,dam0
ราย,ราย,rai,r,ai,,True,raːj1,raaj0
หาย,หาย,hai,h,ai,,True,haːj5,haaj4
ขนม,ขนม,khanom,kh,ano,m,False,kʰa2,kha1'nom4
ดื่ม,ดื่ม,duem,d,ue,m,True,dɯːm2,dUUm1
เน้น,เน้น,nen,n,e,n,True,neːn4,neen3
ห้อง,ห้อง,hong,h,o,ng,True,hᴐːŋ3,hOON2
ยำ,ยำ,yam,y,a,m,False,jam1,jam0
พัฒนา,พัฒ,phattha,ph,attha,,False,pʰat4,phat3'tha3
พัฒนา,นา,na,n,a,,True,tʰa4,naa0
ปัจจุบัน,ปัจ,pat,p,a,t,False,pat2,pat1
ปัจจุบัน,จุ,chu,ch,u,,False,cu2,cu1
ปัจจุบัน,บัน,ban,b,a,n,False,ban1,ban0
ตลาด,ตลาด,talat,t,ala,t,True,ta2,ta1'laat1
สาม,สาม,sam,s,a,m,True,saːm5,saam4
องค์กร,องค์,ong,,o,ng,False,ʔoŋ1,?oN0
องค์กร,กร,kon,k,o,n,True,kᴐːn1,kOOn0
สื่อ,สื่อ,sue,s,ue,,True,sɯː2,sUU1
หรอ,หรอ,ro,r,o,,True,rᴐː5,rOO4
ทา,ทา,tha,th,a,,True,tʰaː1,thaa0
พลาด,พลาด,phlat,ph,la,t,True,pʰlaːt3,phlaat2
สนใจ,สน,son,s,o,n,False,son5,son4
สนใจ,ใจ,chai,ch,ai,,False,caj1,caj0
แนว,แนว,naeo,n,aeo,,True,nɛːw1,nxxw0
เสนอ,เสนอ,sanoe,s,anoe,,True,sa2,sa1'n@@4
ฉบับ,ฉบับ,chabap,ch,aba,p,False,cʰa2,cha1'bap1
